            x [m]            y [m]            z [m]         Ex [V/m]         Ey [V/m]         Ez [V/m]
            0.411           0.0025                0         -11230.1         -13936.8          1397.26
            0.411            0.005                0         -5172.46         -17236.2          1447.12
            0.411           0.0075                0          8113.22           -17047          1035.28
            0.411             0.01                0          21629.6         -17059.7          271.895
            0.411           0.0125                0          40915.1         -17303.7          -280.69
            0.411            0.015                0          56872.3           -10088          593.733
            0.411           0.0175                0            75378          -3748.5           840.65
            0.411             0.02                0          97793.8          926.409          237.912
          0.41225                0                0         -2900.36         -2220.98         -13.9842
          0.41225           0.0025                0         -3234.02          -9736.7          790.773
          0.41225            0.005                0          2922.88           -12611          696.752
          0.41225           0.0075                0          16208.6         -12421.8          284.912
          0.41225             0.01                0          29494.2         -12232.5         -126.928
          0.41225           0.0125                0          38922.7         -9272.82         -19.1208
          0.41225            0.015                0          54371.3         -1194.22         -147.029
          0.41225           0.0175                0          71278.7          6207.46         -73.8635
          0.41225             0.02                0          92513.2          2350.69          15.0178
           0.4135                0                0           2082.9         -312.094         -154.119
           0.4135           0.0025                0          4762.08         -5536.63          184.289
           0.4135            0.005                0          11018.2         -7985.84         -53.6185
           0.4135           0.0075                0          20275.2          -8240.5         -10.6219
           0.4135             0.01                0          28745.6         -8581.83           121.18
           0.4135           0.0125                0          35978.4         -4135.83          46.6325
           0.4135            0.015                0          49415.1          5144.69          -52.347
           0.4135           0.0175                0          64145.9          15581.7         -153.916
           0.4135             0.02                0          90326.4          2207.99          24.8171
          0.41475                0                0          5662.43         -164.675          123.312
          0.41475           0.0025                0          8403.69         -2863.11          306.664
          0.41475            0.005                0          13088.4         -5672.58          322.182
          0.41475           0.0075                0          19348.3         -4609.52          257.617
          0.41475             0.01                0          26469.2          -4818.7         -144.257
          0.41475           0.0125                0          33854.2          916.365          29.7327
          0.41475            0.015                0          43329.7          10588.6         -48.2876
          0.41475           0.0175                0          54703.2          24165.2         -157.274
          0.41475             0.02                0          90234.5          1334.24          70.7464
            0.416                0                0          9241.97         -17.2562          400.744
            0.416           0.0025                0          9938.61         -928.134          781.658
            0.416            0.005                0          14556.9         -3580.67          804.831
            0.416           0.0075                0          20249.3         -2590.77          730.558
            0.416             0.01                0          24389.5         -195.948          13.2469
            0.416           0.0125                0          30145.7          4448.09         -216.067
            0.416            0.015                0            34931          13776.1          51.2312
            0.416           0.0175                0          39341.9          29061.6         -37.6844
            0.416             0.02                0          37696.4            63713          1068.15
            0.397                0                0          -721083         -3400.13          4070.87
            0.397         0.001375                0          -728348          -106678           4027.8
            0.397          0.00275                0          -691654          -220901          3519.99
            0.397         0.004125                0          -620478          -324420          8244.24
            0.397           0.0055                0          -549236          -413174           7825.6
            0.397         0.006875                0          -393790          -498794         -4893.38
            0.397          0.00825                0          -231367          -565813          2956.87
            0.397         0.009625                0          41880.1          -491595         -5559.33
            0.397            0.011                0           247559          -280317          1548.82
         0.398125                0                0          -583274          1338.27         -3905.97
         0.398125       0.00151563                0          -580613          -102722         -739.087
         0.398125       0.00303125                0          -543909          -171350         -4690.14
         0.398125       0.00454687                0          -483116          -275462         -3568.74
         0.398125        0.0060625                0          -373847          -358017          9183.23
         0.398125       0.00757812                0          -199210          -379596          -83.125
         0.398125       0.00909375                0         -38288.1          -372424            474.1
         0.398125        0.0106094                0           129536          -255927          3158.21
         0.398125         0.012125                0          3239.28         -3239.21          0.16345
          0.39925                0                0          -468346           -616.9         -2299.59
          0.39925       0.00165625                0          -434281         -84341.5          6805.17
          0.39925        0.0033125                0          -399275          -143300         -931.057
          0.39925       0.00496875                0          -345751          -226501           -15382
          0.39925         0.006625                0          -202265          -278798         -4357.29
          0.39925       0.00828125                0         -82290.1          -294630         -25.3989
          0.39925        0.0099375                0          8364.98          -244049          4001.44
          0.39925        0.0115937                0          79804.2          -154372          18.3188
          0.39925          0.01325                0         -0.07306           0.1217        0.0337147
         0.400375                0                0          -359415           -554.9          265.675
         0.400375       0.00179688                0          -312047         -66554.1         -345.963
         0.400375       0.00359375                0          -266055          -130060         -2002.24
         0.400375       0.00539062                0          -215965          -187009          1036.59
         0.400375        0.0071875                0          -132474          -207849          30.1455
         0.400375       0.00898437                0         -38528.4          -208054         -538.548
         0.400375        0.0107812                0          27129.8          -157942           3019.9
         0.400375        0.0125781                0          63142.8          -102321         -2006.33
         0.400375         0.014375                0          72742.8         -72670.1         -267.043
           0.4015                0                0          -286873          6575.78         -222.718
           0.4015        0.0019375                0          -255996         -51636.5          269.128
           0.4015         0.003875                0          -206850          -117393          2024.94
           0.4015        0.0058125                0          -165642          -164043          13864.1
           0.4015          0.00775                0         -92537.2          -157385          875.471
           0.4015        0.0096875                0         -14847.9          -149643         -1252.27
           0.4015         0.011625                0          38812.8          -110114         -443.312
           0.4015        0.0135625                0          56328.9         -80456.9         -1835.02
           0.4015           0.0155                0       -0.0468926        0.0251461       -0.0719635
         0.402625                0                0          -224250          9692.18          549.001
         0.402625       0.00207813                0          -218571         -40860.3         -1178.57
         0.402625       0.00415625                0          -165858          -111390          704.681
         0.402625       0.00623438                0          -127443          -137468          10614.5
         0.402625        0.0083125                0         -53972.2          -130005         -2782.77
         0.402625        0.0103906                0           7450.1          -110831          2864.13
         0.402625        0.0124688                0          41261.8           -92296         -2616.86
         0.402625        0.0145469                0            53643         -60852.6         -22.5105
         0.402625         0.016625                0     -4.59044e-06       -0.0185572       -0.0554316
          0.40375                0                0          -161627          12808.6          1320.72
